Sort Order,Name,Formal Name,imptcode
1,Afghanistan,Islamic State of Afghanistan,4
2,Albania,Republic of Albania,8
3,Algeria,People's Democratic Republic of Algeria,12
4,Andorra,Principality of Andorra,20
5,Angola,Republic of Angola,24
6,Antigua and Barbuda,,28
7,Argentina,Argentine Republic,32
8,Armenia,Republic of Armenia,51
9,Australia,Commonwealth of Australia,36
10,Austria,Republic of Austria,40
11,Azerbaijan,Republic of Azerbaijan,31
12,Bahamas,Commonwealth of The Bahamas,44
13,Bahrain,Kingdom of Bahrain,48
14,Bangladesh,People's Republic of Bangladesh,50
15,Barbados,,52
16,Belarus,Republic of Belarus,112
17,Belgium,Kingdom of Belgium,56
18,Belize,,84
19,Benin,Republic of Benin,204
20,Bhutan,Kingdom of Bhutan,64
21,Bolivia,Republic of Bolivia,68
22,Bosnia and Herzegovina,,70
23,Botswana,Republic of Botswana,72
24,Brazil,Federative Republic of Brazil,76
25,Brunei,Negara Brunei Darussalam,96
26,Bulgaria,Republic of Bulgaria,100
27,Burkina Faso,,854
28,Burundi,Republic of Burundi,108
29,Cambodia,Kingdom of Cambodia,116
30,Cameroon,Republic of Cameroon,120
31,Canada,,124
32,Cape Verde,Republic of Cape Verde,132
33,Central African Republic,,140
34,Chad,Republic of Chad,148
35,Chile,Republic of Chile,152
36,China,People's Republic of China,156
37,Colombia,Republic of Colombia,170
38,Comoros,Union of Comoros,174
39,Democratic Republic of the Congo,Democratic Republic of the Congo,180
40,Congo,Republic of the Congo,178
41,Costa Rica,Republic of Costa Rica,188
42,Cote d'Ivoire (Ivory Coast),Republic of Cote d'Ivoire,384
43,Croatia,Republic of Croatia,191
44,Cuba,Republic of Cuba,192
45,Cyprus,Republic of Cyprus,196
46,Czech Republic,,203
47,Denmark,Kingdom of Denmark,208
48,Djibouti,Republic of Djibouti,262
49,Dominica,Commonwealth of Dominica,212
50,Dominican Republic,,214
51,Ecuador,Republic of Ecuador,218
52,Egypt,Arab Republic of Egypt,818
53,El Salvador,Republic of El Salvador,222
54,Equatorial Guinea,Republic of Equatorial Guinea,226
55,Eritrea,State of Eritrea,232
56,Estonia,Republic of Estonia,233
57,Ethiopia,Federal Democratic Republic of Ethiopia,231
58,Fiji,Republic of the Fiji Islands,242
59,Finland,Republic of Finland,246
60,France,French Republic,250
61,Gabon,Gabonese Republic,266
62,Gambia,Republic of The Gambia,270
63,Georgia,Republic of Georgia,268
64,Germany,Federal Republic of Germany,276
65,Ghana,Republic of Ghana,288
66,Greece,Hellenic Republic,300
67,Grenada,,308
68,Guatemala,Republic of Guatemala,320
69,Guinea,Republic of Guinea,324
70,Guinea-Bissau,Republic of Guinea-Bissau,624
71,Guyana,Co-operative Republic of Guyana,328
72,Haiti,Republic of Haiti,332
73,Honduras,Republic of Honduras,340
74,Hungary,Republic of Hungary,348
75,Iceland,Republic of Iceland,352
76,India,Republic of India,356
77,Indonesia,Republic of Indonesia,360
78,Iran,Islamic Republic of Iran,364
79,Iraq,Republic of Iraq,368
80,Ireland,,372
81,Israel,State of Israel,376
82,Italy,Italian Republic,380
83,Jamaica,,388
84,Japan,,392
85,Jordan,Hashemite Kingdom of Jordan,400
86,Kazakhstan,Republic of Kazakhstan,398
87,Kenya,Republic of Kenya,404
88,Kiribati,Republic of Kiribati,296
89,"Korea, North",Democratic People's Republic of Korea,408
90,"Korea, South",Republic of Korea,410
91,Kuwait,State of Kuwait,414
92,Kyrgyzstan,Kyrgyz Republic,417
93,Laos,Lao People's Democratic Republic,418
94,Latvia,Republic of Latvia,428
95,Lebanon,Lebanese Republic,422
96,Lesotho,Kingdom of Lesotho,426
97,Liberia,Republic of Liberia,430
98,Libya,Great Socialist People's Libyan Arab Jamahiriya,434
99,Liechtenstein,Principality of Liechtenstein,438
100,Lithuania,Republic of Lithuania,440
101,Luxembourg,Grand Duchy of Luxembourg,442
102,Macedonia,Republic of Macedonia,807
103,Madagascar,Republic of Madagascar,450
104,Malawi,Republic of Malawi,454
105,Malaysia,,458
106,Maldives,Republic of Maldives,462
107,Mali,Republic of Mali,466
108,Malta,Republic of Malta,470
109,Marshall Islands,Republic of the Marshall Islands,584
110,Mauritania,Islamic Republic of Mauritania,478
111,Mauritius,Republic of Mauritius,480
112,Mexico,United Mexican States,484
113,Micronesia,Federated States of Micronesia,583
114,Moldova,Republic of Moldova,498
115,Monaco,Principality of Monaco,492
116,Mongolia,,496
117,Montenegro,Republic of Montenegro,499
118,Morocco,Kingdom of Morocco,504
119,Mozambique,Republic of Mozambique,508
120,Myanmar,Union of Myanmar,104
121,Namibia,Republic of Namibia,516
122,Nauru,Republic of Nauru,520
123,Nepal,,524
124,Netherlands,Kingdom of the Netherlands,528
125,New Zealand,,554
126,Nicaragua,Republic of Nicaragua,558
127,Niger,Republic of Niger,562
128,Nigeria,Federal Republic of Nigeria,566
129,Norway,Kingdom of Norway,578
130,Oman,Sultanate of Oman,512
131,Pakistan,Islamic Republic of Pakistan,586
132,Palau,Republic of Palau,585
133,Panama,Republic of Panama,591
134,Papua New Guinea,Independent State of Papua New Guinea,598
135,Paraguay,Republic of Paraguay,600
136,Peru,Republic of Peru,604
137,Philippines,Republic of the Philippines,608
138,Poland,Republic of Poland,616
139,Portugal,Portuguese Republic,620
140,Qatar,State of Qatar,634
141,Romania,,642
142,Russia,Russian Federation,643
143,Rwanda,Republic of Rwanda,646
144,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,659
145,Saint Lucia,,662
146,Saint Vincent and the Grenadines,,670
147,Samoa,Independent State of Samoa,882
148,San Marino,Republic of San Marino,674
149,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,678
150,Saudi Arabia,Kingdom of Saudi Arabia,682
151,Senegal,Republic of Senegal,686
152,Serbia,Republic of Serbia,688
153,Seychelles,Republic of Seychelles,690
154,Sierra Leone,Republic of Sierra Leone,694
155,Singapore,Republic of Singapore,702
156,Slovakia,Slovak Republic,703
157,Slovenia,Republic of Slovenia,705
158,Solomon Islands,,90
159,Somalia,,706
160,South Africa,Republic of South Africa,710
161,Spain,Kingdom of Spain,724
162,Sri Lanka,Democratic Socialist Republic of Sri Lanka,144
163,Sudan,Republic of the Sudan,736
164,Suriname,Republic of Suriname,740
165,Swaziland,Kingdom of Swaziland,748
166,Sweden,Kingdom of Sweden,752
167,Switzerland,Swiss Confederation,756
168,Syria,Syrian Arab Republic,760
169,Tajikistan,Republic of Tajikistan,762
170,Tanzania,United Republic of Tanzania,834
171,Thailand,Kingdom of Thailand,764
172,Timor-Leste,Democratic Republic of Timor-Leste,626
173,Togo,Togolese Republic,768
174,Tonga,Kingdom of Tonga,776
175,Trinidad and Tobago,Republic of Trinidad and Tobago,780
176,Tunisia,Tunisian Republic,788
177,Turkey,Republic of Turkey,792
178,Turkmenistan,,795
179,Tuvalu,,798
180,Uganda,Republic of Uganda,800
181,Ukraine,,804
182,United Arab Emirates,United Arab Emirates,784
183,United Kingdom,United Kingdom of Great Britain and Northern Ireland,826
184,United States,United States of America,840
185,Uruguay,Oriental Republic of Uruguay,858
186,Uzbekistan,Republic of Uzbekistan,860
187,Vanuatu,Republic of Vanuatu,548
188,Vatican City,State of the Vatican City,336
189,Venezuela,Bolivarian Republic of Venezuela,862
190,Vietnam,Socialist Republic of Vietnam,704
191,Yemen,Republic of Yemen,887
192,Zambia,Republic of Zambia,894
193,Zimbabwe,Republic of Zimbabwe,716
194,Abkhazia,Republic of Abkhazia,268
195,"China, Republic of (Taiwan)",Republic of China,158
196,Nagorno-Karabakh,Nagorno-Karabakh Republic,31
197,Northern Cyprus,Turkish Republic of Northern Cyprus,196
198,Pridnestrovie (Transnistria),Pridnestrovian Moldavian Republic,498
199,Somaliland,Republic of Somaliland,706
200,South Ossetia,Republic of South Ossetia,268
201,Ashmore and Cartier Islands,Territory of Ashmore and Cartier Islands,36
202,Christmas Island,Territory of Christmas Island,162
203,Cocos (Keeling) Islands,Territory of Cocos (Keeling) Islands,166
204,Coral Sea Islands,Coral Sea Islands Territory,36
205,Heard Island and McDonald Islands,Territory of Heard Island and McDonald Islands,334
206,Norfolk Island,Territory of Norfolk Island,574
207,New Caledonia,,540
208,French Polynesia,Overseas Country of French Polynesia,258
209,Mayotte,Departmental Collectivity of Mayotte,175
210,Saint Barthelemy,Collectivity of Saint Barthelemy,312
211,Saint Martin,Collectivity of Saint Martin,312
212,Saint Pierre and Miquelon,Territorial Collectivity of Saint Pierre and Miquelon,666
213,Wallis and Futuna,Collectivity of the Wallis and Futuna Islands,876
214,French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,260
215,Clipperton Island,,258
216,Bouvet Island,,74
217,Cook Islands,,184
218,Niue,,570
219,Tokelau,,772
220,Guernsey,Bailiwick of Guernsey,831
221,Isle of Man,,833
222,Jersey,Bailiwick of Jersey,832
223,Anguilla,,660
224,Bermuda,,60
225,British Indian Ocean Territory,,86
226,British Sovereign Base Areas,,
227,British Virgin Islands,,92
228,Cayman Islands,,136
229,Falkland Islands (Islas Malvinas),,238
230,Gibraltar,,292
231,Montserrat,,500
232,Pitcairn Islands,,612
233,Saint Helena,,654
234,South Georgia & South Sandwich Islands,,239
235,Turks and Caicos Islands,,796
236,Northern Mariana Islands,Commonwealth of The Northern Mariana Islands,580
237,Puerto Rico,Commonwealth of Puerto Rico,630
238,American Samoa,Territory of American Samoa,16
239,Baker Island,,581
240,Guam,Territory of Guam,316
241,Howland Island,,581
242,Jarvis Island,,581
243,Johnston Atoll,,581
244,Kingman Reef,,581
245,Midway Islands,,581
246,Navassa Island,,581
247,Palmyra Atoll,,581
248,U.S. Virgin Islands,United States Virgin Islands,850
249,Wake Island,,850
250,Hong Kong,Hong Kong Special Administrative Region,344
251,Macau,Macau Special Administrative Region,446
252,Faroe Islands,,234
253,Greenland,,304
254,French Guiana,Overseas Region of Guiana,254
255,Guadeloupe,Overseas Region of Guadeloupe,312
256,Martinique,Overseas Region of Martinique,474
257,Reunion,Overseas Region of Reunion,638
258,Aland,,248
259,Aruba,,533
260,Netherlands Antilles,,530
261,Svalbard,,744
262,Ascension,,
263,Tristan da Cunha,,
268,Australian Antarctic Territory,,10
269,Ross Dependency,,10
270,Peter I Island,,10
271,Queen Maud Land,,10
272,British Antarctic Territory,,10
