gnd,pctile,year,le_raceadj
F,1,2001,79.89
F,1,2002,79.41
F,1,2003,79.57
F,1,2004,80.09
F,1,2005,80.47
F,1,2006,79.70
F,1,2007,79.85
F,1,2008,79.41
F,1,2009,74.53
F,1,2010,79.12
F,1,2011,79.73
F,1,2012,78.76
F,1,2013,79.46
F,1,2014,79.82
F,2,2001,81.13
F,2,2002,81.12
F,2,2003,80.41
F,2,2004,81.54
F,2,2005,81.35
F,2,2006,80.92
F,2,2007,81.72
F,2,2008,81.07
F,2,2009,79.92
F,2,2010,80.12
F,2,2011,81.66
F,2,2012,80.84
F,2,2013,81.01
F,2,2014,80.67
F,3,2001,81.35
F,3,2002,80.90
F,3,2003,81.47
F,3,2004,82.72
F,3,2005,81.82
F,3,2006,82.72
F,3,2007,82.51
F,3,2008,81.05
F,3,2009,81.27
F,3,2010,82.13
F,3,2011,82.09
F,3,2012,81.73
F,3,2013,81.20
F,3,2014,81.89
F,4,2001,81.05
F,4,2002,81.27
F,4,2003,82.02
F,4,2004,80.67
F,4,2005,82.28
F,4,2006,83.14
F,4,2007,82.43
F,4,2008,82.56
F,4,2009,81.86
F,4,2010,82.00
F,4,2011,82.56
F,4,2012,81.65
F,4,2013,82.36
F,4,2014,82.04
F,5,2001,81.39
F,5,2002,82.34
F,5,2003,81.75
F,5,2004,81.78
F,5,2005,82.63
F,5,2006,82.72
F,5,2007,83.02
F,5,2008,82.37
F,5,2009,81.62
F,5,2010,82.60
F,5,2011,82.77
F,5,2012,82.14
F,5,2013,81.84
F,5,2014,82.77
F,6,2001,81.96
F,6,2002,82.24
F,6,2003,81.82
F,6,2004,82.41
F,6,2005,82.61
F,6,2006,82.51
F,6,2007,82.86
F,6,2008,82.04
F,6,2009,81.10
F,6,2010,82.57
F,6,2011,82.44
F,6,2012,82.32
F,6,2013,82.34
F,6,2014,82.49
F,7,2001,80.84
F,7,2002,81.21
F,7,2003,81.20
F,7,2004,82.40
F,7,2005,81.53
F,7,2006,81.56
F,7,2007,83.31
F,7,2008,82.19
F,7,2009,81.69
F,7,2010,81.75
F,7,2011,82.76
F,7,2012,82.33
F,7,2013,82.38
F,7,2014,82.74
