Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total National Health Expenditures,146.311828,154.1693122,165.84375,177.4102564,194.893401,209.26,228.1237624,252.7696078,283.5048544,316.9375,355.0619048,388.3943662,430.9627907,473.7741935,534.6100917,605.8318182,688.027027,776.1160714,864.300885,971.6140351,1110.134783,1271.051502,1421.46383,1551.936709,1694.539749,1830.165289,1945.434426,2099.674797,2335.798387,2568.804781,2840.129921,3066.389105,3284.876923,3485.098859,3636.165414,3812.085821,3964.597786,4144.273723,4339.180505,4581.666667,4857.01773,5216.659649,5676.585366,6097.244828,6472.590444,6862.850847,7238.130872,7628.475083,7903.223684,8158.284314,8400.216828,8670.610932,8913.974522,9113.547468,9532.36478
     Out of pocket,69.61827957,70.67195767,74.24479167,78.51794872,85.92893401,91.045,92.04950495,90.86764706,99.51456311,108.6586538,118.8238095,123.5305164,133.2372093,145.7373272,157.6743119,169.3727273,183.0945946,200.2366071,212.460177,229.4385965,252.8086957,280.4935622,308.2978723,331.7257384,361.9246862,395.2066116,424.6311475,445.7398374,484.7459677,504.5856574,542.8425197,547.9182879,550.6846154,547.9011407,533.9661654,540.3619403,554.8081181,589.1569343,638.6389892,672.6810036,705.5425532,723.7508772,764.1498258,812.8275862,848.662116,895.2983051,918.3255034,965.2956811,972.9967105,962.8594771,969.1941748,995.8553055,1015.041401,1030.022152,1037.166667
     Health Insurance,40.30645161,43.57671958,46.86979167,50.72820513,55.69035533,60.115,77.58910891,103.4754902,118.3446602,132.5240385,151.252381,172.42723,198.2186047,221.3225806,256.6788991,301.5,356.1621622,415.6919643,471.6017699,538.3289474,618.8391304,719.8712446,811.2808511,897.6413502,993.3263598,1071.376033,1125.815574,1219.654472,1364.040323,1542.912351,1728.791339,1915.595331,2088.930769,2255.809886,2393.785714,2542.847015,2664.653137,2768.481752,2861.046931,3032.508961,3260.397163,3561.070175,3909.442509,4214.724138,4507.320819,4795.166102,5093.033557,5347.199336,5584.871711,5870.173203,6072.265372,6286.588424,6457.216561,6607.177215,6971.345912
          Private Health Insurance,31.24731183,34.22222222,37.38541667,40.77948718,45.94923858,50.36,50.97029703,51.23529412,57.42718447,64.24519231,73.8047619,83.75586854,96.23255814,105.9631336,119.6330275,138.9909091,168.5810811,203.9821429,232.4026549,267.3464912,300.9782609,351.0901288,400.9659574,443.5780591,498.1297071,542.607438,557.692623,606.4105691,708.9879032,815.8366534,920.8070866,992.5758755,1056.634615,1122.790875,1158.718045,1213.962687,1268.206642,1313.193431,1390.501805,1496.695341,1625.804965,1763.098246,1956.383275,2123.086207,2248.62116,2378.681356,2474.775168,2579.475083,2646.911184,2721.300654,2793.161812,2902.054662,2974.929936,3003.813291,3116.314465
          Medicare, -   , -   , -   , -   , -   , -   ,9.118811881,24.1372549,30.18446602,33.87019231,36.53333333,39.63849765,43.37209302,49.44700461,61.59633028,74.25454545,88.71171171,102.1919643,118,135.622807,162.5521739,192.1416309,222.7702128,251.3037975,277.0167364,296.8140496,314.8729508,337.7276423,358.7298387,402.936255,433.7874016,469.3268482,523.0615385,570.2091255,630.3383459,688.0335821,733.3948339,767.7956204,756.0288809,764.0609319,797.2659574,869.0736842,924.6724739,974.6724138,1061.802048,1151.684746,1354.614094,1437.704319,1536.075658,1630.202614,1684.563107,1756.048232,1812.665605,1855.408228,1945.616352
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,6.455445545,15.39705882,17.18932039,20.06730769,25.19047619,31.43192488,38.66976744,43.42396313,50.79357798,61.11818182,68.41441441,77.96428571,86.12831858,97.94736842,113.1826087,130.0729614,136.2170213,148.8016878,159.9707113,169.161157,185.9959016,204.6300813,222.0967742,246.8207171,290.003937,362.688716,416.1,465.2965779,505.3157895,540.5298507,561.5129151,586.9744526,610.0649819,657.4659498,710.3617021,786.1789474,864.1602787,927.1482759,992.0273038,1048.301695,1028.778523,1082.242525,1132.332237,1223.702614,1285.297735,1306.778135,1344.035032,1413.705696,1559.012579
                          Federal  , -   , -   , -   , -   , -   , -   ,3.128712871,7.475490196,8.90776699,11.04807692,13.53333333,17.88732394,21.14883721,22.73271889,28.79357798,33.67727273,41.22972973,44.17857143,48.31415929,55.72368421,63.13478261,72.54077253,75.92765957,82.64556962,88.26778243,93.36363636,103.2254098,113.2845528,124.9798387,139.749004,167.7440945,221.1945525,263.8538462,292.6273764,304.7067669,320.6902985,336.1586716,346.5474453,356.1299639,384.0250896,414.2588652,463.8105263,505.9965157,554.3206897,587.9658703,601.5694915,583.4865772,616.2358804,668.0296053,808.3169935,861.8511327,794.3729904,773.4012739,815.6518987,959.5408805
                          State and Local, -   , -   , -   , -   , -   , -   ,3.326732673,7.921568627,8.286407767,9.024038462,11.65238095,13.54929577,17.51627907,20.69124424,22.00458716,27.44090909,27.18918919,33.78571429,37.81858407,42.22368421,50.04782609,57.53218884,60.2893617,66.15611814,71.70292887,75.79752066,82.7704918,91.34552846,97.11693548,107.0756972,122.2598425,141.4941634,152.25,172.6692015,200.612782,219.8395522,225.3542435,240.4306569,253.9350181,273.4408602,296.1028369,322.3719298,358.1637631,372.8275862,404.0614334,446.7288136,445.2919463,466.0066445,464.3026316,415.3856209,423.4466019,512.4051447,570.633758,598.0537975,599.4716981
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.440433213,6.17562724,10.68085106,14.62105263,19.11149826,21.71034483,24.46075085,25.64745763,28.0738255,30.28903654,33.58552632,36.29411765,37.34627832,38.55305466,40.21974522,42.68987342,41.45597484
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.996389892,4.297491039,7.436170213,10.22105263,13.35191638,15.20689655,17.00341297,17.81016949,19.31543624,20.9833887,23.44078947,25.52941176,26.05825243,26.93569132,27.96815287,29.61075949,28.90251572
