abbrev,name,county_min,county_min_le,county_max,county_max_le,avg_le
AK,Alaska,Matanuska-Susitna,83.36046,Juneau,84.2326329,75.4
AL,Alabama,Russell,79.65949478,Shelby,83.2709779,78.3
AR,Arkansas,Phillips,78.67976415,Benton,82.46015693,79.6
AZ,Arizona,Mohave,79.87184839,Coconino,84.71623581,76
CA,California,Yuba,81.28332699,Marin,86.22987329,80.8
CO,Colorado,Adams,82.34720184,Douglas,87.03332679,80
CT,Connecticut,Windham,82.81303456,Fairfield,85.00415915,80.8
DC,District Of Columbia,District Of Columbia,81.97436454,District Of Columbia,81.97436454,78.4
DE,Delaware,Kent,81.88144115,New Castle,82.89481856,76.5
FL,Florida,Putnam,80.00928183,Dade,84.61198769,79.4
GA,Georgia,Decatur,79.21559159,Fayette,85.2203678,77.2
HI,Hawaii,Maui,83.62561301,Honolulu,84.53627424,81.3
IA,Iowa,Webster,81.72289877,Sioux,85.35979201,79.5
ID,Idaho,Elmore,81.99244033,Ada,84.78322645,79
IL,Illinois,Vermilion,80.77571189,Dupage,84.68261845,77.6
IN,Indiana,Jennings,80.47679373,Hamilton,85.07289058,79.7
KS,Kansas,Wyandotte,80.03855756,Johnson,84.91077538,78.7
KY,Kentucky,Harlan,79.48071083,Oldham,84.56206989,76
LA,Louisiana,Avoyelles,79.89858514,Ascension,82.98784487,75.7
MA,Massachusetts,Plymouth,83.30075532,Middlesex,84.81718195,79.2
MD,Maryland,Baltimore City,79.71128808,Montgomery,85.74640437,78.8
ME,Maine,Washington,81.70829754,Cumberland,84.43740309,80.5
MI,Michigan,Wayne,80.28811266,Clinton,85.2294485,78.2
MN,Minnesota,Pine,81.74488692,Olmsted,85.96096659,81.1
MO,Missouri,St Louis City,78.89974697,Platte,83.84742132,75
MS,Mississippi,Sunflower,78.00778032,Oktibbeha,83.47205245,77.5
MT,Montana,Silver Bow,82.11857846,Gallatin,86.20373299,78.5
NC,North Carolina,Edgecombe,79.99303519,Orange,85.31145066,79.8
ND,North Dakota,Grand Forks,83.29494713,Burleigh,84.82337429,78.1
NE,Nebraska,Adams,81.85229233,Platte,84.20013009,80.3
NH,New Hampshire,Coos,82.64908679,Carroll,84.42081971,80.3
NJ,New Jersey,Cumberland,81.36477947,Hunterdon,85.7840958,78.4
NM,New Mexico,Lea,81.04331529,Santa Fe,85.52847351,80.5
NV,Nevada,Nye,80.09773933,Douglas,83.84471842,77.8
NY,New York,Orleans,81.65945664,Westchester,85.1718273,79.5
OH,Ohio,Jefferson,80.48586616,Geauga,84.70344915,77.8
OK,Oklahoma,Osage,79.42915034,Canadian,82.34068535,75.9
OR,Oregon,Coos,81.50976919,Benton,85.67909656,79.5
PA,Pennsylvania,Philadelphia,80.45711098,Union,84.79707346,78.5
RI,Rhode Island,Providence,83.45476412,Bristol,85.40095798,79.9
SC,South Carolina,Marion,78.60943996,Beaufort,83.67269081,77
SD,South Dakota,Codington,83.22509503,Pennington,84.22010541,79.5
TN,Tennessee,Tipton,80.09469893,Williamson,85.58402858,76.3
TX,Texas,Howard,79.9364446,Collin,85.33547605,78.5
UT,Utah,Tooele,83.1449323,Summit,86.72062169,80.2
VA,Virginia,Portsmouth City,79.26979949,Fairfax,85.72429218,80.5
VT,Vermont,Franklin,82.52207204,Chittenden,85.1480179,79
WA,Washington,Grays Harbor,81.7793968,Whitman,85.12154277,79.9
WI,Wisconsin,Milwaukee,81.53009173,Dunn,85.1155082,75.4
WV,West Virginia,Mingo,78.28550395,Monongalia,83.29667238,80
WY,Wyoming,Fremont,82.10979448,Park,84.30112865,78.3
